Date,Open,High,Low,Close,Adj Close,Volume
16.08.1996,616,628,616,624,624,0
19.08.1996,624,632,620,624,624,639403
20.08.1996,624,634,624,634,634,770875
21.08.1996,634,645,633,643,643,1126934
22.08.1996,643,650,637,642,642,1104156
23.08.1996,642,650,642,650,650,1268983
26.08.1996,650,656,645,647,647,1363388
27.08.1996,647,649,637,641,641,847510
28.08.1996,641,647,638,641,641,885619
29.08.1996,641,646,640,645,645,881465
02.09.1996,645,645,630,633,633,633095
03.09.1996,633,633,619,626,626,660044
04.09.1996,626,638,626,635,635,882709
05.09.1996,635,638,629,632,632,879194
06.09.1996,632,639,629,634,634,694364
09.09.1996,634,634,626,629,629,545644
10.09.1996,629,638,629,636,636,882247
11.09.1996,636,647,636,646,646,1283868
12.09.1996,646,658,646,651,651,1185655
13.09.1996,651,652,643,648,648,967743
16.09.1996,648,660,648,658,658,1386929
17.09.1996,658,669,658,669,669,1590704
18.09.1996,669,677,669,677,677,1489229
19.09.1996,677,687,677,683,683,1847458
20.09.1996,683,695,683,695,695,1913999
23.09.1996,695,702,689,692,692,1680027
24.09.1996,692,708,691,708,708,1765195
25.09.1996,708,721,708,721,721,1878375
26.09.1996,721,727,712,715,715,1871808
27.09.1996,715,718,709,716,716,1656354
30.09.1996,716,725,716,725,725,1649751
01.10.1996,725,727,709,713,713,1473907
02.10.1996,713,740,708,738,738,1615389
03.10.1996,738,759,738,753,753,2602478
04.10.1996,753,770,753,767,767,2022468
07.10.1996,767,791,767,785,785,2458358
08.10.1996,785,794,772,787,787,2201948
09.10.1996,787,795,785,795,795,1649900
10.10.1996,795,802,762,766,766,2213478
11.10.1996,766,776,758,762,762,1380318
14.10.1996,762,785,762,780,780,2002192
15.10.1996,780,792,770,774,774,2218166
16.10.1996,774,783,771,778,778,3241572
17.10.1996,778,800,778,797,797,3639672
18.10.1996,797,818,797,817,817,2841321
21.10.1996,817,837,817,833,833,3309997
22.10.1996,833,840,813,815,815,2283912
23.10.1996,815,838,815,838,838,2396688
24.10.1996,838,842,824,833,833,2240553
25.10.1996,833,833,814,824,824,1623775
30.10.1996,824,840,813,837,837,1876299
31.10.1996,837,858,814,820,820,2098026
01.11.1996,820,833,819,826,826,2198975
04.11.1996,826,836,807,812,812,2524211
05.11.1996,812,819,808,819,819,1964279
06.11.1996,819,830,810,815,815,2287389
07.11.1996,815,835,813,835,835,2180415
08.11.1996,835,847,834,838,838,3234976
11.11.1996,838,855,838,847,847,3111326
12.11.1996,847,858,830,837,837,2075718
13.11.1996,837,838,819,822,822,2689119
14.11.1996,822,830,809,814,814,2421954
15.11.1996,814,826,813,825,825,1874597
18.11.1996,825,832,824,832,832,1715885
19.11.1996,832,845,791,799,799,2239037
20.11.1996,799,846,799,846,846,2234472
21.11.1996,846,874,846,873,873,2911711
22.11.1996,873,883,861,870,870,2496933
25.11.1996,870,892,870,881,881,2120735
26.11.1996,881,888,875,883,883,2310427
27.11.1996,883,896,878,887,887,2003881
28.11.1996,887,907,887,907,907,2283900
29.11.1996,907,931,907,918,918,3615373
02.12.1996,918,929,912,921,921,2520104
